feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
JSPPDMSCDGJJOM-YDMRWXCBSA-N,"NCGC00347806-02!2,4-dihyd...","NCGC00347806-02!2,4-dihydroxy-6-methyl-3-[(E)-3-methyl-5-[(1S,2R,6R)-1,2,6-trimethyl-3-oxocyclohexyl]pent-2-enyl]benzaldehyde",390.26587,2.028,0.9739878600000011,0.0083171341871842,metabolomics
IHLWXZNPOVMUFQ-UHFFFAOYSA-N,Laccaic Acid A,Laccaic Acid A,576.05005,2.405,0.9579633233333312,0.0084848884068826,metabolomics
BAYCKSGCVUIVNR-MJEAVDSUSA-N,Apratoxin F,Apratoxin F,828.49811,3.988,-0.8597758766666708,0.0084848884068826,metabolomics
RFDAIACWWDREDC-MZMBZMQMSA-N,GLYCOCHOLATE,GLYCOCHOLATE,430.28775,5.902,0.4393038433333274,0.0086251812409105,metabolomics
LWCKQMHMTSRRAA-QGQQYVBWSA-N,linderalactone,linderalactone,245.10573,9.954,1.540630820000004,0.0087295302975269,metabolomics
PPCBHTAMQFLZHZ-NKVRVIBCSA-N,AgelasineE/F,AgelasineE/F,422.32159,3.118,0.70878029333333,0.0087513871526366,metabolomics
JIHIFNDXLSTZHZ-DNLLRGJWSA-O,"(3aS,3a1S,10bR)-3a-ethyl-...","(3aS,3a1S,10bR)-3a-ethyl-5-(methoxycarbonyl)-13-methyl-1,2,3,3a,3a1,4,6,11,12,13-decahydroindolizino[8,1-cd]carbazol-13-ium chloride",354.23026,9.337,2.9259276166666677,0.0087513871526366,metabolomics
RPAORVSEYNOMBR-RLCCDNCMSA-N,Vittatine,Vittatine,272.13321,9.003,0.5395335566666652,0.0087582577570212,metabolomics
unk_394,C8H8O5 11,C8H8O5,165.0177,1.987,-0.7279191900000015,0.0089850059334075,metabolomics
RGNVWSYKJVPEEP-UHFFFAOYSA-N,Glutamyl-S-(C3H7S)-cystei...,Glutamyl-S-(C3H7S)-cysteinylglycine,382.10986,2.016,1.0064235700000044,0.0089899947087873,metabolomics
VWHGTYCRDRBSFI-ZETCQYMHSA-N,Leu-Gly-Gly,Leu-Gly-Gly,246.15059,9.915,0.7718541833333354,0.0091334335953547,metabolomics
RAFGELQLHMBRHD-IFNPSABLSA-N,Bixin,Bixin,412.24738,1.988,0.7593115866666658,0.0093141308620868,metabolomics
QWGDMFLQWFTERH-UHFFFAOYSA-N,Amoxapine,Amoxapine,314.10748,6.93,0.66561776,0.0093155741014029,metabolomics
IIJLVJMZYPZQLW-MZVUKIKXSA-N,NCGC00380281-01_C21H30O4_...,"NCGC00380281-01_C21H30O4_4a(2H)-Phenanthrenecarboxylic acid, 1,3,4,9,10,10a-hexahydro-5,6-dihydroxy-1,1-dimethyl-7-(1-methylethyl)-, methyl ester, (4aR)-",364.24637,5.952,1.1680589166666664,0.0095145560159749,metabolomics
SJJCQDRGABAVBB-UHFFFAOYSA-N,1-HYDROXY-2-NAPHTHOATE,1-HYDROXY-2-NAPHTHOATE,189.05463,4.27,1.6162084933333354,0.0095145560159749,metabolomics
SNPUUTQIPHTWGL-UHFFFAOYSA-N,NCGC00381224-01!4-[2-[[4-...,"NCGC00381224-01!4-[2-[[4-[[2-[(2-acetamido-3-methylbutanoyl)amino]-3-methylbutanoyl]amino]-3-hydroxy-6-methylheptanoyl]amino]propanoylamino]-3,7-dihydroxy-6-methylheptanoic acid [IIN-based on: CCMSLIB00000847990]",642.40381,6.361,18.673092583333332,0.0096391036548334,metabolomics
OVYNGSFVYRPRCG-KQYNXXCUSA-N,2`-O-Methylguanosine,2`-O-Methylguanosine,298.11029,6.12,19.870526660000003,0.0096391036548334,metabolomics
JOZKFWLRHCDGJA-UHFFFAOYSA-N,Rhodinyl Acetate,Rhodinyl Acetate,216.19318,4.796,0.6271502533333297,0.0097013185129511,metabolomics
AEMFNILZOJDQLW-UHFFFAOYSA-N,"4-Androstene-3,17-dione","4-Androstene-3,17-dione",287.1987,1.526,0.634876446666663,0.0098098658918022,metabolomics
QGLMINHDDNFQAQ-UHFFFAOYSA-N,MMV006741,MMV006741,379.21405,6.13,17.396108593333334,0.0098208655207634,metabolomics
LXEVSYZNYDZSOB-UHFFFAOYSA-N,Gardenin B,Gardenin B,359.1105,1.64,0.8429148799999986,0.0099179817436812,metabolomics
APAWOEBSLLGWDF-IEBWSBKVSA-N,"NCGC00385336-01!(6aR,12aR...","NCGC00385336-01!(6aR,12aR)-12a-hydroxy-2,3,9-trimethoxy-6,6a-dihydrochromeno[3,4-b]chromen-12-one",341.1019,1.642,0.7791718133333205,0.0099187602069821,metabolomics
unk_121,C9H7NO 4,C9H7NO,146.05939,7.505,0.630222343333326,0.0101637776750758,metabolomics
BMQBTHWVNBJSPS-NQLNTKRDSA-N,"(9Z,12Z)-N-(3-Methoxybenz...","(9Z,12Z)-N-(3-Methoxybenzyl)octadeca-9,12-dienamide",400.32294,1.868,-0.9448506633333338,0.0102514114505321,metabolomics
NEMKJBVVPNFVCU-VDVULAQNSA-N,NCGC00180281-02_C22H33NO5...,"NCGC00180281-02_C22H33NO5_D-Valine, N-acetyl-, (5aS,9S,9aS)-1,3,4,5,5a,6,7,8,9,9a-decahydro-6,6,9a-trimethyl-3-oxonaphtho[1,2-c]furan-9-yl ester",414.22263,1.427,0.5061996833333318,0.0102646888690732,metabolomics
CDAWCLOXVUBKRW-UHFFFAOYSA-N,2-Aminophenol,2-Aminophenol,110.0571,11.182,1.0381058233333356,0.0103369437919569,metabolomics
