feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
PRYOPKRCQVILDP-UHFFFAOYSA-N,TG 57:7 #2,TG 57:7 [m/z 936.7955 rt 11.81],936.79553,11.806,7.734276246666668,0.129019941314196,lipidomics
RGIOGDXWJBHLCU-UHFFFAOYSA-N,LPC 7:0,LPC 7:0,428.21524,1.265,9.066168773333334,0.1290412168108618,lipidomics
YRMMHVRLRIDLIZ-UHFFFAOYSA-N,NAGlySer 39:10,NAGlySer 39:10,752.52069,8.698,-8.874462130000001,0.1294854187862884,lipidomics
ZKYNLJYWXBUHAO-UHFFFAOYSA-N,DG 47:2,DG 47:2,797.70282,11.498,1.3146120833333317,0.1294854187862884,lipidomics
PBUQFFKYQFXLPH-UHFFFAOYSA-N,SMGDG O-42:0,SMGDG O-42:0,935.69031,13.258,7.571620493333334,0.1298494205872871,lipidomics
BSNJSZUDOMPYIR-UHFFFAOYSA-N,PI 34:2,PI 34:2 [m/z 833.5194 rt 8.12],833.51941,8.116,-0.2747672900000015,0.1298494205872871,lipidomics
GGEYSVSLHMYHLU-UHFFFAOYSA-N,BA 24:1 #48,BA 24:1 [m/z 781.6018 rt 1.26],781.60175,1.26,0.3092841766666616,0.1298625986464592,lipidomics
YILHJISNSQOVCF-UHFFFAOYSA-N,PC 19:2 #2,PC 19:2 [m/z 622.3265 rt 1.20],622.32648,1.196,0.2765484666666662,0.1298625986464592,lipidomics
SAQZFMZTLFFAGF-UHFFFAOYSA-N,BA 24:1 #145,BA 24:1 [m/z 841.6983 rt 13.87],841.6983,13.866,7.529860153333334,0.1301472078291863,lipidomics
PKKLDOHRPYQDMN-UHFFFAOYSA-N,SM 39:3,SM 39:3,785.60315,10.027,-0.1106811766666737,0.1303681425355469,lipidomics
SDNYRTVJOFMYIW-UHFFFAOYSA-N,TG 52:0 #2,TG 52:0 [m/z 880.8317 rt 13.93],880.83167,13.932,0.1094724100000021,0.1308063981365492,lipidomics
KJNHKRDHJUTEDD-UHFFFAOYSA-N,HexCer 46:3,HexCer 46:3,862.71442,17.229,6.652207681666669,0.1310510099641329,lipidomics
YLKQTEIHHSRAJQ-UHFFFAOYSA-N,Cer 54:8 #3,Cer 54:8 [m/z 818.7050 rt 7.74],818.70496,7.738,-8.67027627,0.1310510099641329,lipidomics
OXTUSMAQQXRJJX-UHFFFAOYSA-N,SL 39:9,SL 39:9,673.4563,13.581,-0.7882225299999988,0.1311261211773234,lipidomics
WOGIAYLXXGZUCW-UHFFFAOYSA-N,PE O-42:4,PE O-42:4,808.61755,12.609,-9.439836323333337,0.1311823088333824,lipidomics
IXAQOGNGDBBZGY-UHFFFAOYSA-N,BA 24:1 #80,BA 24:1 [m/z 869.6602 rt 10.99],869.66022,10.995,-1.318281070000003,0.1320896556929527,lipidomics
QYUPWPMBLYVSGM-UHFFFAOYSA-N,SE 24:1 #56,SE 24:1 [m/z 725.6128 rt 10.27],725.61285,10.265,-0.765071433333329,0.1321695034065332,lipidomics
VCXGHZZMZPUAHM-UHFFFAOYSA-N,SL 42:5,SL 42:5,722.53302,9.513,-8.431355026666669,0.1323331050683837,lipidomics
UUNPNPNQDISOCV-UHFFFAOYSA-N,PC O-38:7 #4,PC O-38:7 [m/z 790.5587 rt 10.02],790.55872,10.022,-0.5085997133333375,0.1324806259321962,lipidomics
TWMGSYPKIPDNSA-UHFFFAOYSA-N,NATau 18:4 #2,NATau 18:4 [m/z 384.2075 rt 1.36],384.20749,1.36,0.4571775333333292,0.1325741331343684,lipidomics
NEYVZGFJLREPRO-UHFFFAOYSA-N,Cer 23:1,Cer 23:1 [m/z 414.3232 rt 1.76],414.32321,1.765,7.018871959999999,0.1325741331343684,lipidomics
WKZHECFHXLTOLJ-UHFFFAOYSA-N,SM 42:2 #3,SM 42:2 [m/z 813.6823 rt 13.53],813.68231,13.528,0.1082970300000027,0.1327093359877812,lipidomics
JATYOUNXCMBEHT-UHFFFAOYSA-N,PE O-50:13,PE O-50:13,904.62189,1.326,-1.5088740033333323,0.1327577103596564,lipidomics
PNYKVNMIGIMAHX-UHFFFAOYSA-N,MGDG 34:9,MGDG 34:9,799.46344,1.768,7.951222930000002,0.1327577103596564,lipidomics
VFILQDDXEBEZLX-UHFFFAOYSA-N,PE O-12:0,PE O-12:0,412.2085,2.751,0.2350436166666689,0.1330953631361731,lipidomics
KUZPIEVYOYJJNW-UHFFFAOYSA-N,NAGlySer 43:8,NAGlySer 43:8,793.56989,11.724,-0.337893236666666,0.1330953631361731,lipidomics
MEMRRVFGVSLHIA-UHFFFAOYSA-N,PC 43:10,PC 43:10,926.59052,10.095,-0.3233184566666693,0.1331988458164012,lipidomics
KSSKUXVUGXZENJ-UHFFFAOYSA-N,TG 52:10,TG 52:10,860.67542,1.262,0.2723506533333282,0.1332262255697597,lipidomics
QHVFTHGTXJJFFQ-UHFFFAOYSA-N,GM1 43:1,GM1 43:1,823.01373,12.694,-0.0935463966666674,0.1336065444877241,lipidomics
AVBZUQPSOWYWFQ-UHFFFAOYSA-N,BA 24:1 #4,BA 24:1 [m/z 769.5714 rt 1.32],769.57135,1.317,0.2592331766666653,0.1337258955057124,lipidomics
ORFGLSLUXSSYAR-UHFFFAOYSA-N,SHexCer 34:8,SHexCer 34:8,766.41797,5.501,-0.1522682833333348,0.1337258955057124,lipidomics
WELBWNMSERTKGN-UHFFFAOYSA-N,NAGly 19:3,NAGly 19:3,367.30643,1.223,0.6482563133333308,0.1339642702714556,lipidomics
SFIHFNXZXPKEID-UHFFFAOYSA-N,MGDG O-33:3,MGDG O-33:3,783.55591,9.037,-0.3799027266666694,0.1339677665105849,lipidomics
UMQKQAJRBMKJKP-UHFFFAOYSA-N,SMGDG 44:3,SMGDG 44:3,971.65106,13.29,0.9799053833333335,0.1339677665105849,lipidomics
RVNBPIHKLZXLBO-UHFFFAOYSA-N,SHexCer 33:6,SHexCer 33:6,756.43134,1.338,0.7286615100000002,0.1342212893600606,lipidomics
